Location,Ward/Branch,Stake,# of Adult Volunteers,# of Youth Volunteers,Doors in Route,Donation Bags Collected,Routes Completed,Neighbourhood,Assessed Value,Time Spent,Latitude,Longitude,New Route Number/Name,Cluster
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,1,260,100,1,BLACKMUD CREEK,503500.0,120,53.42374423,-113.5051636,Gateway Stake 120,0
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,3,16,19,2,LONDONDERRY,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 92,2
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,2,125,21,2,CLAREVIEW,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 93,2
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,1,1,184,45,1,GREENFIELD,295500.0,90,53.476048825243744,-113.5371848,Riverbend Stake 60,0
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,1,3,600,118,2,WOODBEND,703525.0,120,53.44964276918846,-113.5384964,Riverbend Stake 61,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,1,2,134,30,1,CRAWFORD PLAINS,140000.0,90,53.44341912235957,-113.4026104,Gateway Stake 121,1
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,2,0,270,50,2,RIO VISTA,8015783.871,60,53.44895453413155,-113.4371288,Gateway Stake 122,1
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,3,2,500,65,1,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 62,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,1,0,138,6,1,CRAWFORD PLAINS,140000.0,90,53.44341912235957,-113.4026104,Gateway Stake 123,1
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,2,119,14,1,CRAWFORD PLAINS,140000.0,30,53.44341912235957,-113.4026104,Gateway Stake 124,1
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,5,0,326,53,2,TERWILLEGAR PARK,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 63,0
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,2,2,70,7,2,NAMAO,6666500.0,60,53.61346820073055,-113.5157507,Edmonton North Stake 27,3
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,4,0,278,35,1,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 125,1
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,3,0,329,15,1,RUTHERFORD,1154500.0,60,53.42045712828527,-113.5399461,Riverbend Stake 64,0
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,1,1,152,30,1,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 126,1
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,3,210,25,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 65,0
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,1,18,25,1,CLAREVIEW,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 94,2
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,3,205,25,1,ELLERSLIE,797500.0,60,53.43159314034627,-113.44636,Gateway Stake 127,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,0,168,25,1,SILVER BERRY,162000.0,30,53.45921603129749,-113.3818037,Gateway Stake 128,1
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,5,216,46,1,ELLERSLIE,797500.0,90,53.43159314034627,-113.44636,Gateway Stake 129,1
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,1,4,100,18,1,NAMAO,6666500.0,120,53.61346820073055,-113.5157507,Edmonton North Stake 28,3
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,4,200,49,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 66,0
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,3,0,200,30,1,FOREST HEIGHTS,837500.0,120,53.55056740256592,-113.4548124,Bonnie Doon Stake 95,2
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,2,410,45,3,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 130,1
Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,1,2,146,25,1,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 131,1
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,1,2,262,40,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 67,0
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,3,241,23,2,CONNORS HILL,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 96,2
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,2,2,498,55,1,NAMAO,6666500.0,120,53.61346820073055,-113.5157507,Edmonton North Stake 29,3
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,4,0,167,30,1,CONNORS HILL,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 97,2
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,1,25,12,1,CONNORS HILL,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 98,2
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,3,240,35,1,BLACKMUD CREEK,503500.0,60,53.42374423,-113.5051636,Gateway Stake 132,0
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,0,150,34,1,TERWILLEGAR PARK,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 68,0
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,1,500,62,2,ELLERSLIE,797500.0,60,53.43159314034627,-113.44636,Gateway Stake 133,1
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,3,209,15,2,CONNORS HILL,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 99,2
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,4,312,60,2,TERWILLEGAR PARK,703525.0,120,53.44964276918846,-113.5384964,Riverbend Stake 69,0
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,2,1,149,25,1,RIO VISTA,8015783.871,60,53.44895453413155,-113.4371288,Gateway Stake 134,1
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,4,0,167,25,1,CONNORS HILL,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 100,2
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,1,0,522,80,2,CONNORS HILL,837500.0,120,53.55056740256591,-113.4548124,Bonnie Doon Stake 101,2
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,3,0,800,66,3,GRIESBACH,6666500.0,120,53.61346820073056,-113.5157507,Edmonton North Stake 30,3
Gateway Stake Centre ,Beaumont Ward,Gateway Stake,1,0,115,7,1,BEAUMONT,8015783.871,60,53.44895453413155,-113.4371288,Gateway Stake 135,1
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,2,4,250,47,1,WOODBEND,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 70,0
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,0,282,54,3,RABBIT HILL,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 71,0
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,3,180,42,1,GREENFIELD,295500.0,90,53.476048825243744,-113.5371848,Riverbend Stake 72,0
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,3,4,377,71,2,BLACKMUD CREEK,503500.0,90,53.42374423,-113.5051636,Gateway Stake 136,0
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,2,101,19,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 73,0
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,1,0,5,1,CLAREVIEW,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 102,2
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,0,140,17,1,ELLERSLIE,797500.0,30,53.43159314034627,-113.44636,Gateway Stake 137,1
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,2,5,142,20,1,GRIESBACH,6666500.0,60,53.61346820073056,-113.5157507,Edmonton North Stake 31,3
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,1,1,8,10,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 103,2
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,3,211,37,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 74,0
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,3,200,25,1,BLACKMUD CREEK,503500.0,60,53.42374423,-113.5051636,Gateway Stake 138,0
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,2,2,225,20,1,FOREST HEIGHTS,837500.0,30,53.55056740256592,-113.4548124,Bonnie Doon Stake 104,2
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,0,500,38,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 75,0
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,2,4,300,50,1,WOODBEND,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 76,0
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,4,0,155,21,1,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 139,1
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,0,171,12,1,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 140,1
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,3,1,192,37,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 77,0
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,3,0,215,38,1,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 78,0
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,4,188,27,3,SILVER BERRY,162000.0,60,53.45921603129749,-113.3818037,Gateway Stake 141,1
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,0,302,65,1,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 79,0
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,2,2,360,30,2,RUTHERFORD,1154500.0,90,53.42045712828527,-113.5399461,Riverbend Stake 80,0
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,5,10,800,95,1,NAMAO,6666500.0,90,53.61346820073055,-113.5157507,Edmonton North Stake 32,3
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,3,300,40,2,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 81,0
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,4,2,289,55,2,RUTHERFORD,1154500.0,90,53.42045712828527,-113.5399461,Riverbend Stake 82,0
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,1,3,151,34,1,RIO VISTA,8015783.871,60,53.44895453413155,-113.4371288,Gateway Stake 142,1
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,2,0,800,57,1,GRIESBACH,6666500.0,120,53.61346820073056,-113.5157507,Edmonton North Stake 33,3
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0,40,3,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 105,2
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,2,200,42,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 83,0
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,2,2,300,35,1,WOODBEND,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 84,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,2,257,31,2,CRAWFORD PLAINS,140000.0,90,53.44341912235957,-113.4026104,Gateway Stake 143,1
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,1,1,433,39,1,NAMAO,6666500.0,60,53.61346820073055,-113.5157507,Edmonton North Stake 34,3
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,1,2,182,43,2,TERWILLEGAR PARK,703525.0,120,53.44964276918846,-113.5384964,Riverbend Stake 85,0
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,1,4,300,40,1,RIO VISTA,8015783.871,90,53.44895453413155,-113.4371288,Gateway Stake 144,1
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,1,2,212,20,1,GRIESBACH,6666500.0,30,53.61346820073056,-113.5157507,Edmonton North Stake 35,3
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,2,2,400,123,3,NAMAO,6666500.0,120,53.61346820073055,-113.5157507,Edmonton North Stake 36,3
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,0,132,16,1,RABBIT HILL,703525.0,30,53.44964276918846,-113.5384964,Riverbend Stake 86,0
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,3,0,50,50,2,LONDONDERRY,837500.0,120,53.55056740256591,-113.4548124,Bonnie Doon Stake 106,2
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,1,4,245,28,1,SILVER BERRY,162000.0,60,53.45921603129749,-113.3818037,Gateway Stake 145,1
Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,2,1,160,29,2,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 146,1
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0,131,9,2,LONDONDERRY,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 107,2
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,0,150,41,1,GREENFIELD,295500.0,90,53.476048825243744,-113.5371848,Riverbend Stake 87,0
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,3,4,32,30,1,GRIESBACH,6666500.0,60,53.61346820073056,-113.5157507,Edmonton North Stake 37,3
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,1,1,150,45,2,CLAREVIEW,837500.0,120,53.55056740256591,-113.4548124,Bonnie Doon Stake 108,2
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,3,0,1030,100,1,TERWILLEGAR PARK,703525.0,120,53.44964276918846,-113.5384964,Riverbend Stake 88,0
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,0,233,30,1,SILVER BERRY,162000.0,30,53.45921603129749,-113.3818037,Gateway Stake 147,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,2,2,180,20,1,SILVER BERRY,162000.0,90,53.45921603129749,-113.3818037,Gateway Stake 148,1
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,3,219,50,1,GREENFIELD,295500.0,90,53.476048825243744,-113.5371848,Riverbend Stake 89,0
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0,15,12,1,LONDONDERRY,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 109,2
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,0,283,51,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 90,0
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,1,175,40,3,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 91,0
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,1,5,132,22,2,RABBIT HILL,703525.0,120,53.44964276918846,-113.5384964,Riverbend Stake 92,0
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,3,350,49,2,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 93,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,4,730,64,1,CRAWFORD PLAINS,140000.0,120,53.44341912235957,-113.4026104,Gateway Stake 149,1
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,1,0,150,20,1,RUTHERFORD,1154500.0,60,53.42045712828527,-113.5399461,Riverbend Stake 94,0
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,2,2,339,40,1,SILVER BERRY,162000.0,90,53.45921603129749,-113.3818037,Gateway Stake 150,1
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,1,181,60,3,RABBIT HILL,703525.0,120,53.44964276918846,-113.5384964,Riverbend Stake 95,0
Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,1,1,146,22,1,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 151,1
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,0,225,30,1,ELLERSLIE,797500.0,60,53.43159314034627,-113.44636,Gateway Stake 152,1
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,2,3,142,23,1,RUTHERFORD,1154500.0,30,53.42045712828527,-113.5399461,Riverbend Stake 96,0
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,2,0,950,133,1,GRIESBACH,6666500.0,120,53.61346820073056,-113.5157507,Edmonton North Stake 38,3
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,4,100,28,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 97,0
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,4,4,11,16,3,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 153,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,4,4,158,24,3,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 154,1
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,1,0,260,200,2,CRAWFORD PLAINS,140000.0,120,53.44341912235957,-113.4026104,Gateway Stake 155,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,0,159,29,1,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 156,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,4,4,153,25,3,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 157,1
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,2,2,126,20,3,RIO VISTA,8015783.871,90,53.44895453413155,-113.4371288,Gateway Stake 158,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,4,206,32,3,SILVER BERRY,162000.0,60,53.45921603129749,-113.3818037,Gateway Stake 159,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,4,202,27,3,SILVER BERRY,162000.0,60,53.45921603129749,-113.3818037,Gateway Stake 160,1
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,3,1,313,45,2,GRIESBACH,6666500.0,90,53.61346820073056,-113.5157507,Edmonton North Stake 39,3
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,3,1,140,18,1,GRIESBACH,6666500.0,30,53.61346820073056,-113.5157507,Edmonton North Stake 40,3
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,3,0,300,47,2,GRIESBACH,6666500.0,90,53.61346820073056,-113.5157507,Edmonton North Stake 41,3
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,1,4,200,40,2,GRIESBACH,6666500.0,60,53.61346820073056,-113.5157507,Edmonton North Stake 42,3
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,1,0,151,16,1,NAMAO,6666500.0,90,53.61346820073055,-113.5157507,Edmonton North Stake 43,3
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,4,169,18,1,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 161,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,4,4,165,23,1,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 162,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,4,4,166,10,1,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 163,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,4,163,17,1,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 164,1
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,2,95,20,1,BLACKMUD CREEK,503500.0,30,53.42374423,-113.5051636,Gateway Stake 165,0
Bonnie Doon Stake Centre,Clareview Ward,Bonnie Doon Stake,1,0,40,15,1,CLAREVIEW,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 110,2
Bonnie Doon Stake Centre,Clareview Ward,Bonnie Doon Stake,2,1,150,15,1,CLAREVIEW,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 111,2
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,1,2,100,15,1,CONNORS HILL,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 112,2
Bonnie Doon Stake Centre,Londonderry Ward,Bonnie Doon Stake,2,0,50,15,1,LONDONDERRY,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 113,2
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,1,0,50,20,1,FOREST HEIGHTS,837500.0,30,53.55056740256592,-113.4548124,Bonnie Doon Stake 114,2
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,1,0,235,21,1,FOREST HEIGHTS,837500.0,60,53.55056740256592,-113.4548124,Bonnie Doon Stake 115,2
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,1,0,200,100,1,CONNORS HILL,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 116,2
Bearspaw Chapel,Southgate Ward,Bonnie Doon Stake,3,0,375,58,1,SOUTHGATE,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 117,2
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,0,175,30,1,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 166,1
Communities Outside Edmonton,Wainwright Branch,Gateway Stake,2,0,99,11,2,WAINWRIGHT BRANCH,8015783.871,120,53.44895453413155,-113.4371288,Gateway Stake 167,1
Communities Outside Edmonton,Wainwright Branch,Gateway Stake,2,0,153,13,2,WAINWRIGHT BRANCH,8015783.871,120,53.44895453413155,-113.4371288,Gateway Stake 168,1
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,5,0,202,26,1,CONNORS HILL,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 118,2
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,3,200,60,2,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 98,0
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,2,1,159,19,1,RUTHERFORD,1154500.0,60,53.42045712828527,-113.5399461,Riverbend Stake 99,0
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,2,4,158,24,1,RUTHERFORD,1154500.0,30,53.42045712828527,-113.5399461,Riverbend Stake 100,0
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,3,0,132,19,2,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 101,0
Bearspaw Chapel,Rabbit Hill Ward,Riverbend Stake,2,0,289,40,2,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 102,0
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,3,0,122,20,2,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 103,0
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,1,1,136,21,2,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 169,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,1,1,166,8,2,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 170,1
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,3,0,110,10,1,WOODBEND,703525.0,30,53.44964276918846,-113.5384964,Riverbend Stake 104,0
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,1,1,250,62,1,TERWILLEGAR PARK,703525.0,120,53.44964276918846,-113.5384964,Riverbend Stake 105,0
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,2,2,60,35,1,WOODBEND,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 106,0
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,3,120,31,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 107,0
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,3,200,100,1,GREENFIELD,295500.0,90,53.476048825243744,-113.5371848,Riverbend Stake 108,0
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,0,211,47,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 109,0
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,1,58,6,1,RABBIT HILL,703525.0,30,53.44964276918846,-113.5384964,Riverbend Stake 110,0
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,0,150,23,1,CONNORS HILL,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 119,2
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,1,0,140,33,1,GREENFIELD,295500.0,90,53.476048825243744,-113.5371848,Riverbend Stake 111,0
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,3,0,121,45,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 112,0
